City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
175,Port Augusta,AU,57.34,scattered clouds,-32.5,137.7667,
176,Waldshut-Tiengen,DE,45.14,overcast clouds,47.6232,8.2172,
177,Pringsewu,ID,72.01,overcast clouds,-5.3582,104.9744,
178,Vardo,NO,38.95,broken clouds,70.3705,31.1107,
180,Lata,PT,56.8,broken clouds,40.1629,-8.3327,
182,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,
183,Harper,LR,79.21,light rain,4.375,-7.7169,
185,Rajpur,IN,67.44,broken clouds,22.3,74.35,
186,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,
187,Asilah,MA,62.46,clear sky,35.465,-6.0348,
188,Petropavlovsk-Kamchatskiy,RU,32.59,light snow,53.0452,158.6483,
190,Erzin,TR,48.72,clear sky,36.9559,36.2,
193,Buala,SB,84.29,overcast clouds,-8.145,159.5921,
194,Banda Aceh,ID,78.12,overcast clouds,5.5577,95.3222,
196,Torbay,CA,41.76,light intensity drizzle,47.6666,-52.7314,
197,Grand Gaube,MU,73.8,broken clouds,-20.0064,57.6608,
199,Yichang,CN,56.17,broken clouds,30.7144,111.2847,
200,Alice Springs,AU,62.15,clear sky,-23.7,133.8833,
201,Nur,PL,41.79,clear sky,52.6683,22.3221,
204,Airai,TL,60.39,broken clouds,-8.9266,125.4092,
205,Manokwari,ID,79.39,overcast clouds,-0.8667,134.0833,
206,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,
208,Faya,SA,59.52,clear sky,18.3851,42.4509,
209,Praia Da Vitoria,PT,68.25,broken clouds,38.7333,-27.0667,
210,Yumen,CN,30.31,scattered clouds,40.2833,97.2,
211,Katsuura,JP,57.31,scattered clouds,35.1333,140.3,
212,Esperance,AU,60.64,overcast clouds,-33.8667,121.9,
213,Manama,BH,73.38,clear sky,26.2154,50.5832,
217,Eberbach,DE,45.61,broken clouds,49.4694,8.9928,
218,Rio Gallegos,AR,55.45,broken clouds,-51.6226,-69.2181,
219,Dingle,PH,74.93,overcast clouds,10.9995,122.6711,
220,Adrar,MR,76.03,overcast clouds,20.5022,-10.0711,
221,Itarema,BR,80.92,clear sky,-2.9248,-39.9167,
222,Port Blair,IN,79.45,broken clouds,11.6667,92.75,
223,Katobu,ID,73.98,overcast clouds,-4.9408,122.5276,
226,Jalu,LY,70.02,overcast clouds,29.0331,21.5482,
227,Jian,CN,60.01,overcast clouds,27.1172,114.9793,
228,Bad Krozingen,DE,46.51,broken clouds,47.9167,7.7,
230,Asfi,MA,62.15,clear sky,32.2994,-9.2372,
231,Foz,ES,58.41,overcast clouds,43.5692,-7.2544,
233,Boende,CD,70.72,overcast clouds,-0.2167,20.8667,
234,Sembe,CG,73.45,light rain,1.6481,14.5806,
235,Uniontown,US,39.7,overcast clouds,39.9001,-79.7164,
236,Norfolk,US,47.03,broken clouds,42.1668,-71.2495,
237,Nishihara,JP,67.28,few clouds,26.1842,127.7558,
238,Muroto,JP,48.24,broken clouds,33.2833,134.15,
239,Lagoa,PT,66.47,clear sky,39.05,-27.9833,
241,Saint Anthony,US,37.78,broken clouds,45.0205,-93.218,
245,Khartoum,SD,80.94,clear sky,15.5518,32.5324,
246,Coruripe,BR,79.02,scattered clouds,-10.1256,-36.1756,
247,Mogadishu,SO,78.89,scattered clouds,2.0371,45.3438,
248,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,
249,Carutapera,BR,78.69,broken clouds,-1.195,-46.02,
250,Gejiu,CN,47.95,overcast clouds,23.306,103.1635,
251,Kroya,ID,75.2,overcast clouds,-7.6331,109.2461,
252,Zabol,AF,36.91,clear sky,32.25,67.25,
254,Rawson,AR,52.23,scattered clouds,-43.3002,-65.1023,
255,Yarmouth,US,48.18,broken clouds,41.7057,-70.2286,
256,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,
258,Aripuana,BR,79.43,moderate rain,-9.1667,-60.6333,
259,Salalah,OM,75.2,clear sky,17.0151,54.0924,
260,Tateyama,JP,57.22,clear sky,34.9833,139.8667,
261,Pacific Grove,US,76.6,clear sky,36.6177,-121.9166,
262,Kerur,IN,72.66,scattered clouds,16.0167,75.5667,
264,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,
265,Karpathos,GR,64.36,clear sky,35.507,27.2132,
266,Mengyin,CN,45.12,clear sky,35.7069,117.9264,
267,Lindi,TZ,74.64,few clouds,-10.0,39.7167,
268,Ankazoabo,MG,73.85,clear sky,-22.2833,44.5167,
269,Sterling,US,46.54,overcast clouds,39.0062,-77.4286,
270,Pala,TD,81.5,scattered clouds,9.3642,14.9046,
271,Seropedica,BR,78.62,few clouds,-22.7439,-43.7075,
272,Pisco,PE,69.85,clear sky,-13.7,-76.2167,
274,Vao,NC,76.15,clear sky,-22.6667,167.4833,
275,Puerto Del Rosario,ES,67.75,few clouds,28.5004,-13.8627,
277,Olafsvik,IS,36.86,overcast clouds,64.8945,-23.7142,
278,Itoman,JP,68.02,few clouds,26.1247,127.6694,
279,Benjamin Constant,BR,77.13,very heavy rain,-4.3831,-70.0311,
280,Bukama,CD,68.04,overcast clouds,-9.2,25.85,
